Taluk_District,Late Registered events 2021_Births_Male,Late Registered events 2021_Births_Female,Late Registered events 2021_Births_Transgender,Late Registered events 2021_Births_Total,Late Registered events 2021_Deaths_Male,Late Registered events 2021_Deaths_Female,Late Registered events 2021_Deaths_Transgender,Late Registered events 2021_Deaths_Total
Sringeri,2,4,0,6,2,1,0,3
Koppa,30,18,0,48,16,18,0,34
Narasimharajapura,6,5,0,11,12,14,0,26
Tarikere,15,9,0,24,85,62,0,147
Kadur,24,16,0,40,116,84,0,200
Chikmagalur,30,35,0,65,91,42,0,133
Mudigere,31,19,0,50,49,52,0,101
Ajjampura,7,4,0,11,111,89,0,200
Kalasa,3,2,0,5,4,2,0,6
Chiknayakanahalli,27,16,0,43,234,217,0,451
Sira,112,66,0,178,329,338,0,667
Pavagada,87,58,0,145,59,39,0,98
Madhugiri,90,72,0,162,80,53,0,133
Koratagere,7,8,0,15,179,170,0,349
Tumkur,95,44,0,139,345,227,0,572
Gubbi,32,28,0,60,110,77,0,187
Tiptur,21,19,0,40,184,164,0,348
Turuvekere,29,28,0,57,67,49,0,116
Kunigal,80,53,0,133,63,50,0,113
Srinivaspura,171,121,0,292,195,70,0,265
Kolar,108,79,0,187,51,18,0,69
Malur,65,38,0,103,78,49,0,127
BANGARPET,50,36,0,86,17,5,0,22
Mulabagilu,313,206,0,519,73,29,0,102
K.G.F,211,180,0,391,34,27,0,61
Bangalore (North),1268,1190,0,2458,158,97,0,255
Bangalore-South,657,641,0,1298,152,105,0,257
Anekal,272,260,0,532,145,85,0,230
Bangalore-East,357,335,0,692,92,84,1,177
Yelahanka,14,6,0,20,65,44,0,109
Nelamangala,9,8,0,17,106,59,0,165
Doddaballapura,58,44,0,102,115,84,0,199
Devanahalli,22,20,0,42,33,35,0,68
Hoskote,75,79,0,154,129,60,0,189
Krishnarajpet,9,13,0,22,77,58,0,135
Nagamangala,14,8,0,22,159,120,0,279
Pandavpura,15,13,0,28,163,119,0,282
Srirangapatna,19,11,0,30,81,51,0,132
Mandya,36,40,0,76,274,138,0,412
Maddur,6,12,0,18,32,19,0,51
Malavalli,24,17,0,41,301,127,0,428
Sakleshpura,66,51,0,117,104,66,0,170
Belur,9,8,0,17,145,95,0,240
Arsikere,72,43,0,115,461,342,0,803
Hassan,143,145,0,288,330,228,0,558
Alur,32,20,0,52,75,48,0,123
Arkalgud,20,10,0,30,252,168,0,420
Holenarasipura,24,8,0,32,21,31,1,53
Channarayapatna,31,27,0,58,270,142,0,412
Mangalore,92,63,0,155,230,157,0,387
Bantwal,34,20,0,54,39,33,0,72
Belthangady,50,27,0,77,34,29,0,63
Puttur,22,22,0,44,19,11,0,30
Sulya,13,17,0,30,14,14,0,28
Mudabidri,15,17,0,32,34,17,0,51
Kadaba,8,4,0,12,6,6,0,12
Mulki,7,4,0,11,17,22,0,39
Ullala,20,10,0,30,29,19,0,48
Madikeri,15,13,0,28,33,17,0,50
Somavarapete,15,12,0,27,59,50,0,109
Virajpet,34,31,0,65,40,16,0,56
Ponnampete,18,22,0,40,88,22,0,110
Kushalanagara,12,19,0,31,3,4,0,7
Piriyapatna,48,44,0,92,196,177,0,373
Hunsur,29,18,0,47,388,238,0,626
K.R.Nagar,12,6,0,18,44,44,0,88
Mysuru,445,474,0,919,593,423,0,1016
Heggadadevanakote,17,16,0,33,165,98,0,263
Nanjangud,31,13,0,44,668,466,0,1134
T.Narasipura,90,63,0,153,495,327,0,822
Saraguru,8,8,0,16,68,61,0,129
Gundlupet,7,4,0,11,126,77,0,203
Chamarajanagara,23,20,0,43,394,286,0,680
Yalandur,4,1,0,5,116,70,0,186
Kollegala,32,17,0,49,249,151,0,400
Kollegala(Hanur),36,18,0,54,112,62,0,174
Gauribidanur,194,139,0,333,92,77,0,169
Chikballapur,23,39,0,62,84,65,0,149
Gudibande,116,51,0,167,9,7,0,16
Bagepalli,91,48,0,139,35,27,0,62
Shidlagatta,787,740,0,1527,92,48,0,140
Chinthamani,189,124,0,313,169,91,0,260
Magadi,10,7,0,17,68,35,0,103
Ramanagar,132,91,0,223,23,11,0,34
Channapatna,78,45,0,123,365,262,0,627
Kanakpura,76,63,0,139,250,161,0,411
Harohalli,11,8,0,19,148,97,0,245
